CODIGO ASEO;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;COORD UTM ETRS89 X;COORD UTM ETRS90 Y;FECHA PUESTA EN SERVICIO;LONGITUD;LATITUD;NOMBRE
20120AS;19;VICALVARO;AVENIDA;GRAN VIA DEL ESTE;14;;449358.57;4472516.41;43144;-3.5967811;40.4017174;AVENIDA GRAN VIA DEL ESTE,14
20079AS;19;VICALVARO;CALLE;PEDERNAL;1;;449225.95;4472930.82;43146;-3.5983769;40.4054426;CALLE PEDERNAL,1
20105AS;20;SAN BLAS-CANILLEJAS ;PLAZA;ALSACIA;1;INTERCAMBIADOR ALSACIA;447142.09;4474289.16;42709;-3.6230469;40.4175497;PLAZA ALSACIA,1
20101AS;20;SAN BLAS-CANILLEJAS ;CALLE;ALCALÁ;632;INTERCAMBIADOR CANILLEJAS;448332.63;4477759.96;42723;-3.6092966;40.4488915;CALLE ALCALÁ,632
20104AS;20;SAN BLAS-CANILLEJAS ;AVENIDA;NIZA;37;;448502.23;4475629.32;43052;-3.607124;40.429708;AVENIDA NIZA,37
20103AS;20;SAN BLAS-CANILLEJAS ;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;111;;446815.63;4474898.74;43061;-3.6269457;40.4230203;AVENIDA INSTITUCION LIBRE DE ENSEÑANZA,111
20100AS;20;SAN BLAS-CANILLEJAS ;CALLE;SUECIA;33;PLAZA DE GINEBRA;448756.83;4475024.32;43061;-3.6040739;40.4242735;CALLE SUECIA,33
20060AS;20;SAN BLAS-CANILLEJAS ;AVENIDA;ARCENTALES;4;PARQUE DEL PARAISO;447236.08;4475750.43;43085;-3.6220603;40.4307196;AVENIDA ARCENTALES,4
20118AS;20;SAN BLAS-CANILLEJAS ;CALLE;ALCALÁ;548;EN ACCESO A PARQUE DE TORRE ARIAS;447625.80;4477170.87;43088;-3.617583;40.4435404;CALLE ALCALÁ,548
20066AS;20;SAN BLAS-CANILLEJAS ;AVENIDA;ARCENTALES;39;ESTADIO METROPOLITANO;449025.39;4476026.74;43124;-3.6009885;40.4333204;AVENIDA ARCENTALES,39
20028AS;20;SAN BLAS-CANILLEJAS ;CALLE;ALCALÁ;502;EN ACCESO A PARQUE DE QUINTA DE LOS MOLINOS;446719.51;4476854.77;43234;-3.6282427;40.4406352;CALLE ALCALÁ,502
20011AS;21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;PASEO DE PRIMAVERA;449098.13;4479376.13;42641;-3.6003994;40.4634982;PARQUE DE LAS NACIONES,S/N
20012AS;21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;PASEO CENTRAL;448551.72;4479241.61;42667;-3.6068332;40.4622527;PARQUE DE LAS NACIONES,S/N
20129AS;21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;OESTE AUDITORIO;448397.74;4478599.44;42667;-3.6085971;40.4564581;PARQUE DE LAS NACIONES,S/N
20128AS;21;BARAJAS;CALLE;PLAYA DE RIAZOR;45;;450519.90;4480713.84;43168;-3.5837345;40.475635;CALLE PLAYA DE RIAZOR,45
20024AS;21;BARAJAS;PASEO;ALAMEDA DE OSUNA;48;;449158.47;4478372.84;43169;-3.5996074;40.4544636;PASEO ALAMEDA DE OSUNA,48
